episode_id,timestamp,day_of_week,month,latitude,longitude,area_type,weather,rainfall_mm,temperature,festival_active,construction_active,peak_hour,event_type,severity,primary_cause,secondary_cause,tertiary_cause,citizens_affected,avg_delay_minutes,response_time_minutes,intervention,personnel_deployed,resolution_time,outcome_score,retrieval_count,importance_score,confidence_score
EP_27,2024-09-09 13:00:00,Monday,9,19.107017178852203,72.87946125423812,School Zone,Cloudy,3,31,False,False,False,Fire Incident,Medium,,,,1371,91,50,Traffic Diversion,18,244,0.77,0,0.97,0.56
EP_28,2024-11-30 17:00:00,Saturday,11,19.019717097954153,72.94087116131112,Market Area,Cloudy,7,36,False,False,True,Traffic Congestion,Low,,,,2566,73,90,Public Alert,32,23,0.7,0,0.82,0.57
EP_29,2024-12-27 21:00:00,Friday,12,18.98588212198227,72.77490956526643,Commercial,Clear,3,31,False,False,False,Water Leakage,Low,,,,2523,45,9,Additional Personnel,7,292,0.81,0,0.96,0.59
EP_30,2025-07-04 15:00:00,Friday,7,19.070674953487064,72.78867223872133,Market Area,Light Rain,18,37,False,True,False,Traffic Congestion,Medium,Road Construction,,,2209,24,44,Water Pump Deployment,26,86,0.86,0,0.62,0.79
EP_31,2024-10-18 02:00:00,Friday,10,19.011460774856307,72.98320421788395,Commercial,Clear,19,37,False,False,False,Flooding,Medium,,,,2221,11,21,Traffic Diversion,42,71,0.45,0,0.6,0.8
EP_32,2024-03-05 15:00:00,Tuesday,3,19.17078858341395,72.95312798773794,Hospital Zone,Light Rain,5,27,False,False,False,EMS Delay,Medium,,,,1950,83,34,Water Pump Deployment,20,199,0.74,0,0.89,0.72
EP_33,2024-10-11 07:00:00,Friday,10,19.08497992793226,72.8097593472204,Market Area,Cloudy,19,23,False,False,False,Power Outage,Low,,,,3043,88,49,Emergency Crew Dispatch,43,223,0.97,0,0.82,0.94
EP_34,2025-11-13 09:00:00,Thursday,11,19.11060014619636,72.80108809612194,Industrial,Clear,14,37,True,True,True,Traffic Congestion,Low,Road Construction,Festival Crowd,,4133,56,86,Water Pump Deployment,24,245,0.92,0,0.8,0.6
EP_35,2025-11-22 13:00:00,Saturday,11,19.03381447874184,72.85510260331166,Transit Hub,Light Rain,3,26,False,False,False,Flooding,Medium,,,,4104,76,25,Additional Personnel,13,24,0.87,0,0.64,0.46
EP_36,2025-01-13 16:00:00,Monday,1,19.049712072283384,72.8308863806187,School Zone,Clear,12,30,False,False,False,Water Leakage,Low,,,,4602,11,53,Additional Personnel,32,212,0.81,0,0.7,0.51
EP_37,2024-05-27 02:00:00,Monday,5,19.041729601981274,72.88814765501033,Industrial,Cloudy,8,23,False,False,False,Fire Incident,Low,,,,3447,115,89,Road Closure,32,250,0.73,0,0.45,0.66
EP_38,2025-07-05 19:00:00,Saturday,7,19.06654650226293,72.76937950003962,School Zone,Cloudy,7,38,False,False,True,Traffic Congestion,Low,,,,619,20,76,Public Alert,48,222,0.66,0,0.66,0.69
EP_39,2025-07-04 19:00:00,Friday,7,19.084007038768068,72.82944660881162,Commercial,Cloudy,1,27,True,True,True,Traffic Congestion,Medium,Road Construction,Festival Crowd,,1211,39,51,No Action,17,67,0.48,0,0.48,0.93
EP_40,2024-09-18 21:00:00,Wednesday,9,19.05850661384926,72.958512046075,Residential,Light Rain,19,38,False,True,False,Traffic Congestion,Medium,Road Construction,,,4249,119,82,Water Pump Deployment,4,45,0.49,0,0.33,0.95
EP_41,2024-02-16 13:00:00,Friday,2,19.195202512860938,72.94293873285496,Residential,Heavy Rain,125,23,False,False,False,Flooding,Low,Heavy Rain,,,3794,11,13,Public Alert,22,236,0.65,0,0.43,0.89
EP_42,2024-04-19 17:00:00,Friday,4,19.05515931372006,72.91111931458308,Hospital Zone,Cloudy,2,26,False,False,True,Traffic Congestion,Low,,,,3299,62,49,No Action,45,286,0.45,0,0.78,0.54
EP_43,2025-05-19 09:00:00,Monday,5,19.147091116934654,72.82512925300767,Industrial,Clear,10,36,False,False,True,Traffic Congestion,High,,,,1804,15,46,Road Closure,12,150,0.51,0,0.98,0.83
EP_44,2024-03-03 23:00:00,Sunday,3,18.97952115823149,72.76345130181417,Hospital Zone,Cloudy,8,26,False,False,False,EMS Delay,Medium,,,,2573,50,17,Public Alert,39,163,0.48,0,0.32,0.49
EP_45,2024-10-27 10:00:00,Sunday,10,18.979143304153546,72.809579960009,Market Area,Heavy Rain,75,20,False,False,True,Traffic Congestion,Medium,Heavy Rain,,,2776,99,68,Water Pump Deployment,20,172,0.82,0,0.99,0.4
EP_46,2024-02-10 21:00:00,Saturday,2,19.056860285745444,72.85234492702479,Industrial,Light Rain,12,20,False,True,False,Traffic Congestion,High,Road Construction,,,2449,30,57,Emergency Crew Dispatch,41,165,0.49,0,0.63,0.75
EP_47,2024-06-03 07:00:00,Monday,6,18.987407069876394,72.86783100435939,School Zone,Clear,10,33,False,False,False,Flooding,Medium,,,,3826,29,50,Traffic Diversion,24,152,0.54,0,0.85,0.71
EP_48,2024-08-01 23:00:00,Thursday,8,19.06397695614469,72.99739874242611,School Zone,Clear,13,32,False,False,False,Crowd Overflow,Medium,,,,2176,68,54,No Action,36,33,0.61,0,0.33,0.49
EP_49,2024-12-15 04:00:00,Sunday,12,19.12749687571994,72.88662248841808,Hospital Zone,Light Rain,0,34,False,True,False,Traffic Congestion,Low,Road Construction,,,1015,64,44,Emergency Crew Dispatch,27,217,0.59,0,0.74,0.65
EP_50,2024-02-27 16:00:00,Tuesday,2,19.154375376713556,72.95803662035276,School Zone,Heavy Rain,105,22,False,False,False,Flooding,Medium,Heavy Rain,,,3128,23,48,No Action,15,105,0.73,0,0.82,0.55
EP_51,2025-09-18 07:00:00,Thursday,9,19.16080911188381,72.784125087982,Transit Hub,Clear,8,35,False,False,False,Road Damage,Low,,,,4127,68,43,Public Alert,3,188,0.6,0,0.48,0.83
EP_52,2025-04-12 20:00:00,Saturday,4,18.979000058486843,72.92021434280562,Residential,Heavy Rain,137,31,False,False,True,Traffic Congestion,Low,Heavy Rain,,,2139,11,16,Additional Personnel,44,72,0.42,0,0.95,0.46
EP_53,2025-12-27 07:00:00,Saturday,12,19.157264103978747,72.91408496174692,Market Area,Clear,7,27,False,False,False,Power Outage,Low,,,,1231,32,20,Emergency Crew Dispatch,50,45,0.48,0,0.61,0.45
EP_54,2024-05-17 14:00:00,Friday,5,19.14034666899176,72.94452644858751,Commercial,Light Rain,3,20,False,True,False,Traffic Congestion,Low,Road Construction,,,4456,103,70,Road Closure,4,115,0.87,0,0.88,0.81
EP_55,2024-09-26 06:00:00,Thursday,9,19.15344798369247,72.82851929163351,Commercial,Clear,9,24,False,False,False,Traffic Congestion,Medium,,,,2664,18,63,Additional Personnel,50,82,0.56,0,0.32,0.9
EP_56,2025-01-28 04:00:00,Tuesday,1,19.165574694891184,72.88334049666896,Industrial,Cloudy,16,25,False,False,False,Power Outage,Low,,,,3409,61,67,Public Alert,27,224,0.87,0,0.47,0.43
EP_57,2024-12-24 21:00:00,Tuesday,12,19.11220437284148,72.83433927919657,School Zone,Cloudy,2,30,False,True,False,Traffic Congestion,Low,Road Construction,,,4912,92,77,Emergency Crew Dispatch,11,122,0.94,0,0.98,0.97
EP_58,2025-12-04 20:00:00,Thursday,12,19.05654867521353,72.8871057905383,Commercial,Clear,2,20,False,False,True,Traffic Congestion,Low,,,,1616,107,89,Emergency Crew Dispatch,6,118,0.4,0,0.67,0.73
EP_59,2025-01-25 20:00:00,Saturday,1,19.194117233914543,72.86277710389426,Industrial,Clear,11,34,False,False,True,Traffic Congestion,High,,,,2867,64,51,Road Closure,26,189,0.85,0,0.85,0.41
EP_60,2025-09-06 12:00:00,Saturday,9,19.03076804618374,72.9045251735753,Residential,Cloudy,1,22,False,False,False,Road Damage,Low,,,,1969,113,36,Public Alert,49,126,0.84,0,0.56,0.73
EP_61,2025-08-03 19:00:00,Sunday,8,19.11642407309334,72.91196264451203,Industrial,Clear,19,24,False,True,True,Traffic Congestion,Low,Road Construction,,,4768,20,53,Traffic Diversion,5,41,0.88,0,0.51,0.96
EP_62,2025-07-24 18:00:00,Thursday,7,19.08384742250152,72.87329713269848,School Zone,Light Rain,10,36,False,False,True,Traffic Congestion,Low,,,,4463,19,66,Emergency Crew Dispatch,11,236,0.96,0,0.77,0.67
EP_63,2025-03-31 08:00:00,Monday,3,19.054933510903673,72.96721790449837,School Zone,Clear,3,24,False,False,True,Traffic Congestion,High,,,,3719,15,60,No Action,34,120,0.82,0,0.81,0.62
EP_64,2024-07-05 17:00:00,Friday,7,19.17344037782555,72.83558641940422,Hospital Zone,Heavy Rain,117,30,False,False,True,Traffic Congestion,High,Heavy Rain,,,1492,12,39,Emergency Crew Dispatch,8,179,0.95,0,0.91,0.97
EP_65,2024-08-03 12:00:00,Saturday,8,18.992486291770906,72.86287210553957,Transit Hub,Light Rain,17,37,False,True,False,Traffic Congestion,Medium,Road Construction,,,379,10,68,Additional Personnel,14,223,0.51,0,0.65,0.75
EP_66,2025-08-20 13:00:00,Wednesday,8,19.144915933185306,72.84745393835617,Commercial,Heavy Rain,69,27,False,False,False,Flooding,Medium,Heavy Rain,,,811,119,32,Additional Personnel,32,240,0.4,0,0.66,0.91
EP_67,2025-02-26 01:00:00,Wednesday,2,19.045582817715548,72.89344250257018,Industrial,Heavy Rain,109,25,False,False,False,Flooding,High,Heavy Rain,,,1851,72,38,Additional Personnel,35,280,0.55,0,0.74,0.97
EP_68,2024-09-21 21:00:00,Saturday,9,19.09100992597235,72.85688137093231,Market Area,Light Rain,7,35,False,False,False,Road Damage,Low,,,,4193,8,10,Traffic Diversion,44,32,0.73,0,0.88,0.53
EP_69,2024-11-01 11:00:00,Friday,11,19.193859161057777,72.80834486895593,School Zone,Clear,5,20,False,False,False,Traffic Congestion,Low,,,,2390,21,50,Public Alert,17,110,0.67,0,0.42,0.46
EP_70,2025-12-04 09:00:00,Thursday,12,18.958425907093524,72.866509181772,School Zone,Light Rain,5,30,False,False,True,Traffic Congestion,Low,,,,1740,71,15,No Action,7,207,0.42,0,0.85,0.68
EP_71,2024-11-30 20:00:00,Saturday,11,19.034630736899153,72.81546227688833,Market Area,Cloudy,10,31,False,True,True,Traffic Congestion,Medium,Road Construction,,,3437,66,59,Emergency Crew Dispatch,46,127,0.44,0,0.7,0.41
EP_72,2024-11-19 02:00:00,Tuesday,11,19.056713713679823,72.84311429367398,Commercial,Clear,0,26,False,False,False,Road Damage,Medium,,,,515,46,40,Public Alert,26,187,0.74,0,0.95,0.45
EP_73,2025-12-18 09:00:00,Thursday,12,19.056414665338547,72.82743695696205,Residential,Cloudy,11,32,False,True,True,Traffic Congestion,High,Road Construction,,,4640,91,71,Emergency Crew Dispatch,24,58,0.48,0,0.38,0.82
EP_74,2025-05-07 21:00:00,Wednesday,5,19.01373887869607,72.83284628964441,Market Area,Clear,20,25,False,False,False,Traffic Congestion,Low,,,,852,80,41,Water Pump Deployment,39,152,0.46,0,0.41,0.81
EP_75,2024-01-29 22:00:00,Monday,1,19.027347459099385,72.91760428955422,Residential,Clear,3,36,False,False,False,Traffic Congestion,Low,,,,3205,105,67,Road Closure,2,265,0.49,0,0.96,0.48
EP_76,2024-06-30 13:00:00,Sunday,6,19.079054854981262,72.86863186495462,Commercial,Cloudy,11,23,False,False,False,Traffic Congestion,High,,,,1375,19,12,Public Alert,48,144,0.93,0,0.46,0.54
EP_77,2024-08-12 16:00:00,Monday,8,19.03318242330231,72.88792409757963,Industrial,Clear,6,20,False,False,False,Flooding,Medium,,,,2221,12,83,No Action,25,174,0.77,0,0.41,0.9
EP_78,2024-09-12 04:00:00,Thursday,9,19.18767636931634,72.80941755860901,Transit Hub,Cloudy,5,20,False,False,False,Fire Incident,Low,,,,2027,86,7,Water Pump Deployment,5,148,0.48,0,0.68,0.98
EP_79,2024-12-12 09:00:00,Thursday,12,19.098789042910546,72.83910619232616,Hospital Zone,Clear,10,21,True,False,True,Traffic Congestion,Medium,Festival Crowd,,,4164,16,17,Additional Personnel,4,37,0.83,0,0.86,0.88
EP_80,2025-04-04 18:00:00,Friday,4,18.997075648769886,72.91550787719919,Market Area,Cloudy,10,28,False,True,True,Traffic Congestion,Low,Road Construction,,,3377,105,49,Road Closure,36,181,0.78,0,0.85,0.99
EP_81,2025-06-26 08:00:00,Thursday,6,18.99793708256588,72.85623580367914,Residential,Heavy Rain,115,25,False,False,True,Traffic Congestion,Low,Heavy Rain,,,1823,68,5,Road Closure,17,132,0.6,0,0.48,0.53
EP_82,2025-09-09 09:00:00,Tuesday,9,19.179332606001545,72.8956098634912,Industrial,Heavy Rain,149,24,False,True,True,Traffic Congestion,Medium,Heavy Rain,Road Construction,,3016,79,86,Public Alert,6,97,0.86,0,0.87,0.83
EP_83,2025-10-27 10:00:00,Monday,10,18.960732616335893,72.95603473561144,School Zone,Heavy Rain,58,38,False,True,True,Traffic Congestion,High,Heavy Rain,Road Construction,,3742,6,81,No Action,34,63,0.44,0,0.68,0.99
EP_84,2025-01-21 21:00:00,Tuesday,1,19.042395122032588,72.88796840342064,Commercial,Light Rain,20,26,False,False,False,Flooding,Medium,,,,2017,105,6,No Action,25,205,0.74,0,0.94,0.64
EP_85,2025-05-18 05:00:00,Sunday,5,19.051443807111514,72.79177255073549,Hospital Zone,Heavy Rain,111,24,True,False,False,Traffic Congestion,Low,Heavy Rain,Festival Crowd,,256,77,27,Road Closure,6,195,0.51,0,0.89,0.41
EP_86,2024-07-10 04:00:00,Wednesday,7,19.082239952170646,72.7652923281405,Industrial,Clear,17,28,False,False,False,Road Damage,Low,,,,3721,73,23,No Action,19,47,0.84,0,0.72,0.81
EP_87,2025-02-03 13:00:00,Monday,2,19.17110217780021,72.93176596726603,Market Area,Clear,8,34,False,False,False,Water Leakage,Medium,,,,4661,31,47,No Action,24,156,0.48,0,0.93,0.99
EP_88,2024-09-21 08:00:00,Saturday,9,19.138944849040527,72.87215286125526,School Zone,Cloudy,14,29,False,False,True,Traffic Congestion,Low,,,,938,116,15,Water Pump Deployment,19,24,0.82,0,0.56,0.94
EP_89,2025-07-16 09:00:00,Wednesday,7,18.967804094409132,72.9234874530398,Industrial,Heavy Rain,145,36,False,True,True,Traffic Congestion,Low,Heavy Rain,Road Construction,,4112,61,19,Water Pump Deployment,17,259,0.46,0,0.9,0.49
EP_90,2024-10-31 17:00:00,Thursday,10,19.10332490869639,72.94728371336338,Hospital Zone,Cloudy,6,26,False,False,True,Traffic Congestion,High,,,,3963,29,31,Water Pump Deployment,37,201,0.91,0,0.41,0.84
EP_91,2024-05-18 01:00:00,Saturday,5,18.98441558142082,72.9244791352591,Market Area,Clear,16,33,True,False,False,Crowd Overflow,Low,Festival Crowd,,,643,9,49,Water Pump Deployment,30,50,0.6,0,0.52,0.9
EP_92,2025-10-23 09:00:00,Thursday,10,19.124940088738423,72.86426970332892,School Zone,Light Rain,6,20,True,False,True,Traffic Congestion,High,Festival Crowd,,,3933,23,9,Traffic Diversion,42,82,0.53,0,0.79,0.51
EP_93,2024-01-04 07:00:00,Thursday,1,19.09264278348582,72.95070358960939,Market Area,Clear,7,22,False,False,False,EMS Delay,Medium,,,,957,116,82,No Action,9,208,0.8,0,0.88,0.85
EP_94,2024-10-05 06:00:00,Saturday,10,18.96011131722991,72.94342662988934,Transit Hub,Light Rain,15,25,False,True,False,Traffic Congestion,High,Road Construction,,,3162,10,38,Road Closure,13,124,0.46,0,0.52,0.67
EP_95,2025-05-26 05:00:00,Monday,5,19.003532891774203,72.93382587128534,Residential,Cloudy,0,20,False,True,False,Traffic Congestion,Medium,Road Construction,,,4061,18,10,Traffic Diversion,43,255,0.43,0,0.91,0.58
EP_96,2024-11-16 14:00:00,Saturday,11,18.99511863726129,72.81660493783035,Commercial,Cloudy,7,22,False,True,False,Traffic Congestion,Medium,Road Construction,,,4996,63,75,Traffic Diversion,3,256,0.49,0,0.99,1.0
EP_97,2024-09-06 16:00:00,Friday,9,19.10263326913422,72.96517555556629,School Zone,Clear,14,25,False,False,False,Power Outage,Medium,,,,2170,63,70,Water Pump Deployment,27,271,0.61,0,0.71,0.62
EP_98,2024-08-12 16:00:00,Monday,8,19.190497258050538,72.95077802795215,Transit Hub,Cloudy,20,27,False,False,False,Flooding,Medium,,,,2348,74,61,No Action,34,218,0.4,0,0.47,0.48
EP_99,2025-02-02 15:00:00,Sunday,2,19.02044631182398,72.93750544830014,Hospital Zone,Cloudy,0,28,False,False,False,Crowd Overflow,Low,,,,464,52,27,Additional Personnel,6,67,0.5,0,0.33,0.8
EP_100,2024-12-29 18:00:00,Sunday,12,19.06085922962992,72.88675715963126,Hospital Zone,Cloudy,5,37,False,True,True,Traffic Congestion,Medium,Road Construction,,,4901,103,36,Road Closure,9,145,0.94,0,0.41,0.54
EP_101,2024-09-22 02:00:00,Sunday,9,19.01854023611828,72.78449319352221,Market Area,Light Rain,19,28,False,False,False,Traffic Congestion,Low,,,,3453,53,50,No Action,46,282,0.7,0,0.7,0.9
EP_102,2025-10-23 04:00:00,Thursday,10,19.09253367665625,72.9328004925314,Residential,Clear,6,33,False,False,False,Accident,Low,High Traffic Volume,,,1134,84,8,No Action,11,199,0.6,0,0.95,0.55
EP_103,2024-03-27 10:00:00,Wednesday,3,19.10983980350943,72.96523706755556,Residential,Clear,1,22,False,False,True,Traffic Congestion,Low,,,,4681,81,49,Additional Personnel,3,238,0.54,0,0.57,0.77
EP_104,2024-03-10 08:00:00,Sunday,3,19.09973657737712,72.94716576095001,Transit Hub,Cloudy,2,26,False,False,True,Traffic Congestion,Low,,,,2167,45,36,Water Pump Deployment,32,233,0.68,0,1.0,0.86
EP_105,2025-04-04 21:00:00,Friday,4,18.983098672321432,72.9123864378632,Transit Hub,Clear,15,28,False,False,False,Water Leakage,High,,,,185,111,84,Road Closure,33,231,0.61,0,0.36,0.47
EP_106,2025-11-02 18:00:00,Sunday,11,18.979676607029862,72.91664886069154,Commercial,Clear,11,37,False,False,True,Traffic Congestion,Low,,,,4962,10,27,Traffic Diversion,12,115,0.59,0,0.49,0.88
EP_107,2024-02-16 20:00:00,Friday,2,18.99101302954438,72.89078439650562,Market Area,Clear,4,29,False,False,True,Traffic Congestion,Low,,,,1129,5,70,Road Closure,17,55,0.5,0,0.32,0.51
EP_108,2025-03-24 21:00:00,Monday,3,19.14098567826263,72.8745992288618,Commercial,Cloudy,19,33,False,True,False,Traffic Congestion,Low,Road Construction,,,2167,27,15,Additional Personnel,43,221,0.64,0,0.34,0.98
EP_109,2024-11-25 04:00:00,Monday,11,19.027741648339045,72.91051451866184,School Zone,Light Rain,17,34,False,False,False,Road Damage,High,,,,2499,74,32,No Action,10,294,0.81,0,0.66,0.52
EP_110,2024-09-25 06:00:00,Wednesday,9,19.00591898161036,72.8747930090848,Industrial,Light Rain,5,22,False,False,False,Power Outage,Low,,,,3075,91,78,Additional Personnel,36,264,0.44,0,0.56,0.66
EP_111,2025-02-09 03:00:00,Sunday,2,19.00380632818979,72.86244222620837,Market Area,Clear,18,23,False,False,False,Crowd Overflow,Medium,,,,4653,21,27,No Action,40,206,0.45,0,0.99,0.64
EP_112,2024-11-18 22:00:00,Monday,11,19.12111976857865,72.86414605372053,School Zone,Heavy Rain,87,21,False,False,False,Flooding,Low,Heavy Rain,,,1029,107,54,Additional Personnel,46,32,0.99,0,0.54,0.75
EP_113,2025-10-22 23:00:00,Wednesday,10,19.051640940269873,72.95196409119086,Market Area,Cloudy,3,33,False,False,False,Traffic Congestion,High,,,,566,79,5,No Action,36,212,0.63,0,0.72,0.42
EP_114,2025-12-05 09:00:00,Friday,12,19.165724555572762,72.90988357616916,Market Area,Cloudy,9,25,False,False,True,Traffic Congestion,Low,,,,2108,34,54,Public Alert,29,20,0.71,0,0.42,0.63
EP_115,2024-11-06 09:00:00,Wednesday,11,18.964163681579784,72.97381935771318,Hospital Zone,Clear,19,38,False,False,True,Traffic Congestion,High,,,,3583,52,45,Public Alert,43,132,0.85,0,0.89,0.57
EP_116,2025-04-09 17:00:00,Wednesday,4,19.05444048726871,72.77313059190962,Commercial,Cloudy,0,38,False,False,True,Traffic Congestion,Low,,,,620,8,60,Water Pump Deployment,23,144,0.43,0,0.48,0.73
EP_117,2025-04-10 01:00:00,Thursday,4,19.133501947063483,72.808998528968,Residential,Heavy Rain,105,20,False,False,False,Flooding,Low,Heavy Rain,,,2228,86,34,No Action,35,79,0.64,0,0.78,0.89
EP_118,2024-12-26 04:00:00,Thursday,12,19.143815661992615,72.83063997238308,Residential,Clear,20,34,False,False,False,Accident,Low,High Traffic Volume,,,868,43,26,Traffic Diversion,39,220,0.58,0,0.95,0.46
EP_119,2024-01-27 00:00:00,Saturday,1,19.091655693105402,72.83634733442082,Hospital Zone,Clear,12,21,False,False,False,Crowd Overflow,Low,,,,354,109,25,Additional Personnel,38,214,0.5,0,0.96,0.75
EP_120,2025-10-22 00:00:00,Wednesday,10,18.963264626538294,72.83466336207518,Market Area,Light Rain,16,20,False,False,False,Flooding,Low,,,,4171,11,58,Emergency Crew Dispatch,10,206,0.53,0,0.63,0.97
EP_121,2024-04-12 18:00:00,Friday,4,18.966717938338515,72.95534790965974,Industrial,Light Rain,2,37,True,False,True,Traffic Congestion,High,Festival Crowd,,,2052,17,72,No Action,20,124,0.79,0,1.0,0.59
EP_122,2024-06-07 13:00:00,Friday,6,19.15611488830595,72.77431772524625,School Zone,Light Rain,6,20,False,True,False,Traffic Congestion,Medium,Road Construction,,,4447,18,63,No Action,38,202,0.57,0,0.46,0.61
